"ObjectId","Landkreis","Bundesland","Infektionen","Todesfälle","Letalitätsrate","Aktualisiert"
"105","Bochum","Nordrhein-Westfalen","1500","28","1.86666666666667","2020-10-11"
"106","Dortmund","Nordrhein-Westfalen","2364","21","0.888324873096447","2020-10-11"
"107","Hagen","Nordrhein-Westfalen","961","14","1.45681581685744","2020-10-11"
"108","Hamm","Nordrhein-Westfalen","1274","38","2.98273155416013","2020-10-11"
"109","Herne","Nordrhein-Westfalen","709","9","1.26939351198872","2020-10-11"
"110","Ennepe-Ruhr-Kreis","Nordrhein-Westfalen","950","15","1.57894736842105","2020-10-11"
"111","Hochsauerlandkreis","Nordrhein-Westfalen","933","19","2.03644158628081","2020-10-11"
"112","Märkischer Kreis","Nordrhein-Westfalen","1252","32","2.55591054313099","2020-10-11"
"113","Olpe","Nordrhein-Westfalen","861","57","6.62020905923345","2020-10-11"
"114","Siegen-Wittgenstein","Nordrhein-Westfalen","831","8","0.962695547533093","2020-10-11"
"115","Soest","Nordrhein-Westfalen","664","10","1.50602409638554","2020-10-11"
"116","Unna","Nordrhein-Westfalen","1630","42","2.57668711656442","2020-10-11"
"117","Darmstadt","Hessen","516","18","3.48837209302326","2020-10-11"
"118","Frankfurt am Main","Hessen","4185","72","1.72043010752688","2020-10-11"
"119","Offenbach am Main","Hessen","721","10","1.3869625520111","2020-10-11"
"120","Wiesbaden","Hessen","1211","23","1.89925681255161","2020-10-11"
"121","Bergstraße","Hessen","705","3","0.425531914893617","2020-10-11"
"122","Darmstadt-Dieburg","Hessen","810","22","2.71604938271605","2020-10-11"
"123","Groß-Gerau","Hessen","1330","17","1.2781954887218","2020-10-11"
"124","Hochtaunuskreis","Hessen","608","6","0.986842105263158","2020-10-11"
"125","Main-Kinzig-Kreis","Hessen","1562","55","3.52112676056338","2020-10-11"
"126","Main-Taunus-Kreis","Hessen","866","17","1.96304849884527","2020-10-11"
"127","Odenwaldkreis","Hessen","507","63","12.4260355029586","2020-10-11"
"128","Offenbach","Hessen","1507","46","3.05242203052422","2020-10-11"
"129","Rheingau-Taunus-Kreis","Hessen","586","8","1.36518771331058","2020-10-11"
"130","Wetteraukreis","Hessen","711","13","1.82841068917018","2020-10-11"
"131","Gießen","Hessen","574","6","1.04529616724739","2020-10-11"
"132","Lahn-Dill-Kreis","Hessen","606","23","3.7953795379538","2020-10-11"
"133","Limburg-Weilburg","Hessen","536","7","1.30597014925373","2020-10-11"
"134","Marburg-Biedenkopf","Hessen","586","4","0.68259385665529","2020-10-11"
"135","Vogelsbergkreis","Hessen","195","6","3.07692307692308","2020-10-11"
"136","Kassel","Hessen","654","9","1.37614678899083","2020-10-11"
"137","Fulda","Hessen","645","17","2.63565891472868","2020-10-11"
"138","Hersfeld-Rotenburg","Hessen","383","23","6.00522193211488","2020-10-11"
"139","Kassel","Hessen","602","32","5.3156146179402","2020-10-11"
"140","Schwalm-Eder-Kreis","Hessen","717","39","5.43933054393306","2020-10-11"
"141","Waldeck-Frankenberg","Hessen","283","5","1.76678445229682","2020-10-11"
"142","Werra-Meißner-Kreis","Hessen","305","16","5.24590163934426","2020-10-11"
"143","Koblenz","Rheinland-Pfalz","371","20","5.39083557951483","2020-10-11"
"144","Ahrweiler","Rheinland-Pfalz","392","3","0.76530612244898","2020-10-11"
"145","Altenkirchen (Westerwald)","Rheinland-Pfalz","282","12","4.25531914893617","2020-10-11"
"146","Bad Kreuznach","Rheinland-Pfalz","379","7","1.84696569920844","2020-10-11"
"147","Birkenfeld","Rheinland-Pfalz","137","3","2.18978102189781","2020-10-11"
"148","Cochem-Zell","Rheinland-Pfalz","174","1","0.574712643678161","2020-10-11"
"149","Mayen-Koblenz","Rheinland-Pfalz","531","17","3.2015065913371","2020-10-11"
"150","Neuwied","Rheinland-Pfalz","550","5","0.909090909090909","2020-10-11"
"151","Rhein-Hunsrück-Kreis","Rheinland-Pfalz","238","6","2.52100840336134","2020-10-11"
"152","Rhein-Lahn-Kreis","Rheinland-Pfalz","228","6","2.63157894736842","2020-10-11"
"153","Westerwaldkreis","Rheinland-Pfalz","627","22","3.50877192982456","2020-10-11"
"154","Trier","Rheinland-Pfalz","249","1","0.401606425702811","2020-10-11"
"155","Bernkastel-Wittlich","Rheinland-Pfalz","291","2","0.687285223367698","2020-10-11"
"156","Eifelkreis Bitburg-Prüm","Rheinland-Pfalz","356","6","1.68539325842697","2020-10-11"
"157","Vulkaneifel","Rheinland-Pfalz","154","5","3.24675324675325","2020-10-11"
"158","Trier-Saarburg","Rheinland-Pfalz","430","11","2.55813953488372","2020-10-11"
"159","Frankenthal (Pfalz)","Rheinland-Pfalz","98","2","2.04081632653061","2020-10-11"
"160","Kaiserslautern","Rheinland-Pfalz","333","6","1.8018018018018","2020-10-11"
"161","Landau in der Pfalz","Rheinland-Pfalz","97","2","2.06185567010309","2020-10-11"
"162","Ludwigshafen am Rhein","Rheinland-Pfalz","680","2","0.294117647058824","2020-10-11"
"163","Mainz","Rheinland-Pfalz","1166","28","2.40137221269297","2020-10-11"
"164","Neustadt an der Weinstraße","Rheinland-Pfalz","161","2","1.24223602484472","2020-10-11"
"165","Pirmasens","Rheinland-Pfalz","54","0","0.0","2020-10-11"
"166","Speyer","Rheinland-Pfalz","173","1","0.578034682080925","2020-10-11"
"167","Worms","Rheinland-Pfalz","343","8","2.33236151603499","2020-10-11"
"168","Zweibrücken","Rheinland-Pfalz","67","1","1.49253731343284","2020-10-11"
"169","Alzey-Worms","Rheinland-Pfalz","420","11","2.61904761904762","2020-10-11"
"170","Bad Dürkheim","Rheinland-Pfalz","408","12","2.94117647058824","2020-10-11"
"171","Donnersbergkreis","Rheinland-Pfalz","193","9","4.66321243523316","2020-10-11"
"172","Germersheim","Rheinland-Pfalz","416","6","1.44230769230769","2020-10-11"
"173","Kaiserslautern","Rheinland-Pfalz","286","1","0.34965034965035","2020-10-11"
"174","Kusel","Rheinland-Pfalz","141","1","0.709219858156028","2020-10-11"
"175","Südliche Weinstraße","Rheinland-Pfalz","197","4","2.03045685279188","2020-10-11"
"176","Rhein-Pfalz-Kreis","Rheinland-Pfalz","437","5","1.1441647597254","2020-10-11"
"177","Mainz-Bingen","Rheinland-Pfalz","696","25","3.59195402298851","2020-10-11"
"178","Südwestpfalz","Rheinland-Pfalz","149","3","2.01342281879195","2020-10-11"
"179","Stuttgart","Baden-Württemberg","3277","66","2.01403722917302","2020-10-11"
"180","Böblingen","Baden-Württemberg","2331","49","2.1021021021021","2020-10-11"
"181","Esslingen","Baden-Württemberg","3182","121","3.80263984915148","2020-10-11"
"182","Göppingen","Baden-Württemberg","1282","40","3.1201248049922","2020-10-11"
"183","Ludwigsburg","Baden-Württemberg","2945","74","2.51273344651952","2020-10-11"
"184","Rems-Murr-Kreis","Baden-Württemberg","2447","99","4.04577033101757","2020-10-11"
"185","Heilbronn","Baden-Württemberg","797","17","2.13299874529486","2020-10-11"
"186","Heilbronn","Baden-Württemberg","1452","44","3.03030303030303","2020-10-11"
"187","Hohenlohekreis","Baden-Württemberg","893","47","5.26315789473684","2020-10-11"
"188","Schwäbisch Hall","Baden-Württemberg","1227","60","4.88997555012225","2020-10-11"
"189","Main-Tauber-Kreis","Baden-Württemberg","600","11","1.83333333333333","2020-10-11"
"190","Heidenheim","Baden-Württemberg","641","41","6.39625585023401","2020-10-11"
"191","Ostalbkreis","Baden-Württemberg","1953","44","2.25294418842806","2020-10-11"
"192","Baden-Baden","Baden-Württemberg","248","19","7.66129032258065","2020-10-11"
"193","Karlsruhe","Baden-Württemberg","760","14","1.84210526315789","2020-10-11"
"194","Karlsruhe","Baden-Württemberg","1552","82","5.28350515463918","2020-10-11"
"195","Rastatt","Baden-Württemberg","788","19","2.41116751269036","2020-10-11"
"196","Heidelberg","Baden-Württemberg","575","7","1.21739130434783","2020-10-11"
"197","Mannheim","Baden-Württemberg","1287","13","1.01010101010101","2020-10-11"
"198","Neckar-Odenwald-Kreis","Baden-Württemberg","582","23","3.95189003436426","2020-10-11"
"199","Rhein-Neckar-Kreis","Baden-Württemberg","1795","40","2.22841225626741","2020-10-11"
"200","Pforzheim","Baden-Württemberg","676","9","1.33136094674556","2020-10-11"
"201","Calw","Baden-Württemberg","968","27","2.78925619834711","2020-10-11"
"202","Enzkreis","Baden-Württemberg","961","28","2.91363163371488","2020-10-11"
"203","Freudenstadt","Baden-Württemberg","678","39","5.75221238938053","2020-10-11"
"204","Freiburg im Breisgau","Baden-Württemberg","1355","80","5.90405904059041","2020-10-11"
"205","Breisgau-Hochschwarzwald","Baden-Württemberg","1574","72","4.57433290978399","2020-10-11"
"206","Emmendingen","Baden-Württemberg","746","44","5.89812332439678","2020-10-11"
"207","Ortenaukreis","Baden-Württemberg","1778","126","7.08661417322835","2020-10-11"
"208","Rottweil","Baden-Württemberg","795","26","3.27044025157233","2020-10-11"
"209","Schwarzwald-Baar-Kreis","Baden-Württemberg","732","35","4.78142076502732","2020-10-11"
"210","Tuttlingen","Baden-Württemberg","675","25","3.7037037037037","2020-10-11"
"211","Konstanz","Baden-Württemberg","819","17","2.07570207570208","2020-10-11"
"212","Lörrach","Baden-Württemberg","931","65","6.98174006444683","2020-10-11"
"213","Waldshut","Baden-Württemberg","463","35","7.55939524838013","2020-10-11"
"214","Reutlingen","Baden-Württemberg","2049","82","4.00195217179112","2020-10-11"
"215","Tübingen","Baden-Württemberg","1629","60","3.68324125230203","2020-10-11"
"216","Zollernalbkreis","Baden-Württemberg","1441","78","5.41290770298404","2020-10-11"
"217","Ulm","Baden-Württemberg","654","10","1.52905198776758","2020-10-11"
"218","Alb-Donau-Kreis","Baden-Württemberg","971","26","2.67765190525232","2020-10-11"
"219","Biberach","Baden-Württemberg","917","36","3.92584514721919","2020-10-11"
"220","Bodenseekreis","Baden-Württemberg","574","8","1.39372822299652","2020-10-11"
"221","Ravensburg","Baden-Württemberg","950","7","0.736842105263158","2020-10-11"
"222","Sigmaringen","Baden-Württemberg","918","36","3.92156862745098","2020-10-11"
"223","Ingolstadt","Bayern","860","39","4.53488372093023","2020-10-11"
"224","München","Bayern","12539","229","1.82630193795359","2020-10-11"
"225","Rosenheim","Bayern","774","23","2.97157622739018","2020-10-11"
"226","Altötting","Bayern","758","57","7.5197889182058","2020-10-11"
"227","Berchtesgadener Land","Bayern","469","25","5.33049040511727","2020-10-11"
"228","Bad Tölz-Wolfratshausen","Bayern","662","10","1.51057401812689","2020-10-11"
"229","Dachau","Bayern","1300","35","2.69230769230769","2020-10-11"
"230","Ebersberg","Bayern","845","6","0.710059171597633","2020-10-11"
"231","Eichstätt","Bayern","440","20","4.54545454545455","2020-10-11"
"232","Erding","Bayern","883","11","1.24575311438279","2020-10-11"
"233","Freising","Bayern","1370","47","3.43065693430657","2020-10-11"
"234","Fürstenfeldbruck","Bayern","1503","36","2.39520958083832","2020-10-11"
"235","Garmisch-Partenkirchen","Bayern","439","20","4.55580865603645","2020-10-11"
"236","Landsberg am Lech","Bayern","504","10","1.98412698412698","2020-10-11"
"237","Miesbach","Bayern","792","11","1.38888888888889","2020-10-11"
"238","Mühldorf a. Inn","Bayern","681","27","3.9647577092511","2020-10-11"
"239","München","Bayern","2258","96","4.25155004428698","2020-10-11"
"240","Neuburg-Schrobenhausen","Bayern","465","18","3.87096774193548","2020-10-11"
"241","Pfaffenhofen a.d. Ilm","Bayern","540","22","4.07407407407407","2020-10-11"
"242","Rosenheim","Bayern","2736","199","7.2733918128655","2020-10-11"
"243","Starnberg","Bayern","841","13","1.54577883472057","2020-10-11"
"244","Traunstein","Bayern","1506","88","5.84329349269588","2020-10-11"
"245","Weilheim-Schongau","Bayern","496","3","0.604838709677419","2020-10-11"
"246","Landshut","Bayern","471","9","1.91082802547771","2020-10-11"
"247","Passau","Bayern","233","18","7.72532188841202","2020-10-11"
"248","Straubing","Bayern","507","48","9.46745562130178","2020-10-11"
"249","Deggendorf","Bayern","505","19","3.76237623762376","2020-10-11"
"250","Freyung-Grafenau","Bayern","261","12","4.59770114942529","2020-10-11"
"251","Kelheim","Bayern","687","35","5.09461426491994","2020-10-11"
"252","Landshut","Bayern","877","34","3.87685290763968","2020-10-11"
"253","Passau","Bayern","857","31","3.61726954492415","2020-10-11"
"254","Regen","Bayern","292","12","4.10958904109589","2020-10-11"
"255","Rottal-Inn","Bayern","930","51","5.48387096774194","2020-10-11"
"256","Straubing-Bogen","Bayern","642","29","4.51713395638629","2020-10-11"
"257","Dingolfing-Landau","Bayern","1015","10","0.985221674876847","2020-10-11"
"258","Amberg","Bayern","150","4","2.66666666666667","2020-10-11"
"259","Regensburg","Bayern","984","10","1.01626016260163","2020-10-11"
"260","Weiden i.d. OPf.","Bayern","412","20","4.85436893203883","2020-10-11"
"261","Amberg-Sulzbach","Bayern","560","54","9.64285714285714","2020-10-11"
"262","Cham","Bayern","553","21","3.79746835443038","2020-10-11"
"263","Neumarkt i.d. OPf.","Bayern","592","17","2.87162162162162","2020-10-11"
"264","Neustadt a.d. Waldnaab","Bayern","949","73","7.69230769230769","2020-10-11"
"265","Regensburg","Bayern","793","16","2.01765447667087","2020-10-11"
"266","Schwandorf","Bayern","623","20","3.21027287319422","2020-10-11"
"267","Tirschenreuth","Bayern","1253","140","11.1731843575419","2020-10-11"
"268","Bamberg","Bayern","282","22","7.80141843971631","2020-10-11"
"269","Bayreuth","Bayern","294","11","3.74149659863946","2020-10-11"
"270","Coburg","Bayern","150","4","2.66666666666667","2020-10-11"
"271","Hof","Bayern","192","5","2.60416666666667","2020-10-11"
"272","Bamberg","Bayern","550","38","6.90909090909091","2020-10-11"
"273","Bayreuth","Bayern","463","28","6.0475161987041","2020-10-11"
"274","Coburg","Bayern","453","30","6.62251655629139","2020-10-11"
"275","Forchheim","Bayern","320","4","1.25","2020-10-11"
"276","Hof","Bayern","555","32","5.76576576576577","2020-10-11"
