"ObjectId","Landkreis","Bundesland","Infektionen","Infektionsrate","Neuinfektionen pro 100k EW","Todesfälle","Letalitätsrate","Aktualisiert"
"234","Fürstenfeldbruck","Bayern","1357","0.618730621922305","618.730621922305","36","2.65291083271923","2020-10-04"
"235","Garmisch-Partenkirchen","Bayern","435","0.491708772762725","491.708772762725","20","4.59770114942529","2020-10-04"
"236","Landsberg am Lech","Bayern","484","0.40309483555563","403.09483555563","10","2.06611570247934","2020-10-04"
"237","Miesbach","Bayern","763","0.765096364037463","765.096364037463","11","1.44167758846658","2020-10-04"
"238","Mühldorf a. Inn","Bayern","661","0.57353579175705","573.53579175705","27","4.08472012102874","2020-10-04"
"239","München","Bayern","2130","0.610540858942131","610.540858942131","96","4.50704225352113","2020-10-04"
"240","Neuburg-Schrobenhausen","Bayern","441","0.45614398014067","456.14398014067","18","4.08163265306122","2020-10-04"
"241","Pfaffenhofen a.d. Ilm","Bayern","517","0.406603172605799","406.603172605799","21","4.06189555125725","2020-10-04"
"242","Rosenheim","Bayern","2633","1.00887797289479","1008.87797289479","199","7.5579187238891","2020-10-04"
"243","Starnberg","Bayern","798","0.586368045145931","586.368045145931","13","1.62907268170426","2020-10-04"
"244","Traunstein","Bayern","1455","0.821620766958987","821.620766958987","88","6.04810996563574","2020-10-04"
"245","Weilheim-Schongau","Bayern","478","0.353163696545202","353.163696545202","3","0.627615062761506","2020-10-04"
"246","Landshut","Bayern","465","0.642229711065687","642.229711065687","9","1.93548387096774","2020-10-04"
"247","Passau","Bayern","231","0.440259963025787","440.259963025787","18","7.79220779220779","2020-10-04"
"248","Straubing","Bayern","503","1.05243335983596","1052.43335983596","48","9.54274353876739","2020-10-04"
"249","Deggendorf","Bayern","474","0.397231114761242","397.231114761242","17","3.58649789029536","2020-10-04"
"250","Freyung-Grafenau","Bayern","249","0.317784442600983","317.784442600983","12","4.81927710843374","2020-10-04"
"251","Kelheim","Bayern","672","0.549657282141046","549.657282141046","35","5.20833333333333","2020-10-04"
"252","Landshut","Bayern","863","0.543800173915235","543.800173915235","33","3.82387022016222","2020-10-04"
"253","Passau","Bayern","832","0.433236306452201","433.236306452201","31","3.72596153846154","2020-10-04"
"254","Regen","Bayern","245","0.315493973421242","315.493973421242","12","4.89795918367347","2020-10-04"
"255","Rottal-Inn","Bayern","887","0.735129580056191","735.129580056191","50","5.6369785794814","2020-10-04"
"256","Straubing-Bogen","Bayern","633","0.628918320102534","628.918320102534","29","4.58135860979463","2020-10-04"
"257","Dingolfing-Landau","Bayern","986","1.02476693307835","1024.76693307835","10","1.01419878296146","2020-10-04"
"258","Amberg","Bayern","131","0.31212771026924","312.12771026924","4","3.05343511450382","2020-10-04"
"259","Regensburg","Bayern","940","0.615949151431754","615.949151431754","10","1.06382978723404","2020-10-04"
"260","Weiden i.d. OPf.","Bayern","398","0.936030103480715","936.030103480715","20","5.0251256281407","2020-10-04"
"261","Amberg-Sulzbach","Bayern","551","0.534385941091466","534.385941091466","54","9.80036297640653","2020-10-04"
"262","Cham","Bayern","519","0.40584288641091","405.84288641091","21","4.04624277456647","2020-10-04"
"263","Neumarkt i.d. OPf.","Bayern","574","0.429766174257455","429.766174257455","17","2.9616724738676","2020-10-04"
"264","Neustadt a.d. Waldnaab","Bayern","910","0.964473461081906","964.473461081906","73","8.02197802197802","2020-10-04"
"265","Regensburg","Bayern","758","0.391585559895026","391.585559895026","16","2.11081794195251","2020-10-04"
"266","Schwandorf","Bayern","601","0.408318556413862","408.318556413862","20","3.32778702163062","2020-10-04"
"267","Tirschenreuth","Bayern","1222","1.68542425245504","1685.42425245504","140","11.4566284779051","2020-10-04"
"268","Bamberg","Bayern","259","0.333797298690587","333.797298690587","22","8.49420849420849","2020-10-04"
"269","Bayreuth","Bayern","278","0.372369637140523","372.369637140523","11","3.9568345323741","2020-10-04"
"270","Coburg","Bayern","148","0.358796576886712","358.796576886712","4","2.7027027027027","2020-10-04"
"271","Hof","Bayern","189","0.411495754408883","411.495754408883","5","2.64550264550265","2020-10-04"
"272","Bamberg","Bayern","520","0.353534666793577","353.534666793577","37","7.11538461538462","2020-10-04"
"273","Bayreuth","Bayern","456","0.439916647372077","439.916647372077","28","6.14035087719298","2020-10-04"
"274","Coburg","Bayern","446","0.513198168135687","513.198168135687","30","6.72645739910314","2020-10-04"
"275","Forchheim","Bayern","302","0.260122826208667","260.122826208667","4","1.32450331125828","2020-10-04"
"276","Hof","Bayern","552","0.579156655580153","579.156655580153","32","5.79710144927536","2020-10-04"
"277","Kronach","Bayern","186","0.277053697773144","277.053697773144","3","1.61290322580645","2020-10-04"
"278","Kulmbach","Bayern","319","0.444011413459531","444.011413459531","11","3.44827586206897","2020-10-04"
"279","Lichtenfels","Bayern","378","0.565546545378378","565.546545378378","17","4.4973544973545","2020-10-04"
"280","Wunsiedel i. Fichtelgebirge","Bayern","777","1.06179452841018","1061.79452841018","42","5.40540540540541","2020-10-04"
"281","Ansbach","Bayern","199","0.4755418548522","475.5418548522","8","4.02010050251256","2020-10-04"
"282","Erlangen","Bayern","402","0.359050392097319","359.050392097319","12","2.98507462686567","2020-10-04"
"283","Fürth","Bayern","614","0.480633747690766","480.633747690766","38","6.18892508143322","2020-10-04"
"284","Nürnberg","Bayern","2104","0.405891601477723","405.891601477723","53","2.51901140684411","2020-10-04"
"285","Schwabach","Bayern","125","0.306432633849774","306.432633849774","2","1.6","2020-10-04"
"286","Ansbach","Bayern","712","0.387063805728762","387.063805728762","28","3.93258426966292","2020-10-04"
"287","Erlangen-Höchstadt","Bayern","389","0.285460589560508","285.460589560508","11","2.82776349614396","2020-10-04"
"288","Fürth","Bayern","604","0.514537384889298","514.537384889298","58","9.60264900662252","2020-10-04"
"289","Nürnberger Land","Bayern","793","0.465471194200687","465.471194200687","44","5.54854981084489","2020-10-04"
"290","Neustadt a.d. Aisch-Bad Windsheim","Bayern","302","0.300904706867004","300.904706867004","6","1.98675496688742","2020-10-04"
"291","Roth","Bayern","367","0.289071976559177","289.071976559177","7","1.90735694822888","2020-10-04"
"292","Weißenburg-Gunzenhausen","Bayern","457","0.484146070153507","484.146070153507","25","5.47045951859956","2020-10-04"
"293","Aschaffenburg","Bayern","188","0.266564578104839","266.564578104839","1","0.531914893617021","2020-10-04"
"294","Schweinfurt","Bayern","255","0.471942552561445","471.942552561445","18","7.05882352941176","2020-10-04"
"295","Würzburg","Bayern","816","0.638098217078511","638.098217078511","52","6.37254901960784","2020-10-04"
"296","Aschaffenburg","Bayern","713","0.409280859662013","409.280859662013","42","5.890603085554","2020-10-04"
"297","Bad Kissingen","Bayern","295","0.285802863841578","285.802863841578","18","6.10169491525424","2020-10-04"
"298","Rhön-Grabfeld","Bayern","303","0.380223365541473","380.223365541473","8","2.64026402640264","2020-10-04"
"299","Haßberge","Bayern","233","0.27541696710363","275.41696710363","6","2.57510729613734","2020-10-04"
"300","Kitzingen","Bayern","298","0.327800327800328","327.800327800328","4","1.34228187919463","2020-10-04"
"301","Miltenberg","Bayern","452","0.351051601478766","351.051601478766","6","1.32743362831858","2020-10-04"
"302","Main-Spessart","Bayern","245","0.193882799825901","193.882799825901","6","2.44897959183673","2020-10-04"
"303","Schweinfurt","Bayern","683","0.593366114711657","593.366114711657","25","3.66032210834553","2020-10-04"
"304","Würzburg","Bayern","660","0.407825302470433","407.825302470433","7","1.06060606060606","2020-10-04"
"305","Augsburg","Bayern","1086","0.367967201450184","367.967201450184","16","1.47329650092081","2020-10-04"
"306","Kaufbeuren","Bayern","200","0.455653521062584","455.653521062584","9","4.5","2020-10-04"
"307","Kempten (Allgäu)","Bayern","188","0.272831497525651","272.83149752565","10","5.31914893617021","2020-10-04"
"308","Memmingen","Bayern","149","0.339895522047585","339.895522047585","1","0.671140939597315","2020-10-04"
"309","Aichach-Friedberg","Bayern","504","0.377256804095931","377.256804095931","20","3.96825396825397","2020-10-04"
"310","Augsburg","Bayern","747","0.296977744559384","296.977744559384","11","1.47255689424364","2020-10-04"
"311","Dillingen a.d. Donau","Bayern","386","0.401995396840274","401.995396840275","29","7.51295336787565","2020-10-04"
"312","Günzburg","Bayern","422","0.335594487343634","335.594487343634","4","0.947867298578199","2020-10-04"
"313","Neu-Ulm","Bayern","824","0.473019517795637","473.019517795637","26","3.15533980582524","2020-10-04"
"314","Lindau (Bodensee)","Bayern","319","0.390601084866963","390.601084866963","8","2.50783699059561","2020-10-04"
